nr,Identification,Title,LCS category,Data category,Abstract,Keywords,Authors,Year,Contact - Name,Contact - Organization,Contact - Role,Contact - Email,Who fills the form,Source,Language,Reference system,Citation,Paper or Report,Spatial resolution,Spatial format,Format,Extent (geographic),Extent (category),Usage constraints (*)
67,M200,"Soil suitability for maize production in Marakwet East District, Elgeyo Marakwet County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Marakwet East District, Elgeyo Marakwet County",,"Njoroge, C.R.K., Macharia, P.N., Gachini, G.N., Maingi, P.M., Chek, A., Mukiira, N. and Wandera, F",2012,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Elgeyo Marakwet County, Kenya",district,
68,M201,"Soil suitability for maize production in Marakwet West, Elgeyo Marakwet County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Marakwet West, Elgeyo Marakwet County",,"Chek, A., Njoroge, C.R.K., Macharia, P.N., Gachini, G.N., Maingi, P.M., Mukiira, N. and Wandera, F",2012,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Elgeyo Marakwet County, Kenya",district,
69,M202,"Soil suitability evaluation for maize production in Embu West district, Embu County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Embu West district, Embu County",,"Maingi, P.M., Chek, A., Njoroge, C.R.K., Macharia, P.N., Gachini, G.N., Mukiira, N and Wandera, F",2012,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Embu County, Kenya",district,
70,M203,"Soil suitability evaluation for maize production in Embu North district, Embu County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Embu North district, Embu County",,"Gachini, G.N., Maingi, P.M., Chek, A., Njoroge, C.R.K., Macharia, P.N., Mukiira,N., and Wandera, F",2012,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Embu County, Kenya",district,
71,M204,"Soil suitability evaluation for maize production in Mbeere North district, Embu County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Mbeere North district, Embu County",,"Macharia, P.N., Gachini, G.N., Maingi, P.M., Chek, A., Njoroge, C.R.K., Mukiira, N., and Wandera, F",2012,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Embu County, Kenya",district,
72,M205,"Soil suitability evaluation for maize production in Mbeere South district, Embu County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Mbeere South district, Embu County",,"Njoroge, C.R.K., Macharia, P.N., Gachini, G.N., Maingi, P.M., Chek, A., Mukiira, N. and Wandera, F",2012,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Embu County, Kenya",district,
73,M206,"Soil suitability evaluation for maize production in Butere district, Kakamega County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Butere district, Kakamega County",,"Chek, A., Njoroge, C.R.K., Macharia, P.N., Gachini, G.N., Maingi, P.M., Mukiira, N., and Wandera, F",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kakamega County, Kenya",district,
74,M207,"Soil suitability evaluation for maize production in Kakamega East, Kakamega County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Kakamega East, Kakamega County",,"Maingi, P.M., Chek, A., Njoroge, C.R.K., Macharia, P.N., Gachini, G.N., Mukiira, N. and Wandera, F",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kakamega County, Kenya",district,
75,M208,"Soil suitability evaluation for maize production in Kakamega Central, Kakamega County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Kakamega Central, Kakamega County",,"Gachini, G.N., Maingi, P.M., Chek, A., Njoroge, C.R.K., Macharia, P.N., Mukiira, N., and Wandera, F.",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kakamega County, Kenya",district,
76,M209,"Soil suitability evaluation for maize production in Kakamega South district, Kakamega County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Kakamega South district, Kakamega County",,"Macharia, P.N., Gachini, G.N., Maingi, P.M., Chek, A., Njoroge, C.R.K., Mukiira, N., and Wandera, F.",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kakamega County, Kenya",district,
77,M210,"Soil suitability evaluation for maize production in Khwisero district, Kakamega County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Khwisero district, Kakamega County",,"Njoroge, C.R.K., Macharia, P.N., Gachini, G.N., Maingi, P.M., Chek, A., Mukiira, N. and Wandera, F",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kakamega County, Kenya",district,
78,M211,"Soil suitability evaluation for maize production in Lugari District, Kakamega County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Lugari District, Kakamega County",,"Chek, A., Njoroge, C.R.K., Macharia, P.N., Gachini, G.N., Maingi, P.M., Mukiira, N., and Wandera, F",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kakamega County, Kenya",district,
79,M212,"Soil suitability evaluation for maize production in Matungu district, Kakamega County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Matungu district, Kakamega County",,"Maingi, P.M., Chek, A., Njoroge, C.R.K., Macharia, P.N., Gachini, G.N., Mukiira, N., and Wandera, F",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kakamega County, Kenya",district,
80,M213,"Soil suitability evaluation for maize production in Kipkelion district, Kericho County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Kipkelion district, Kericho County",,"Gachini, G.N., Maingi, P.M., Chek, A., Njoroge, C.R.K., Macharia, P.N., Mukiira, N., and Wandera, F",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kericho County, Kenya",district,
81,M214,"Soil suitability evaluation for maize production in Kericho West district, Kericho County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Kericho West district, Kericho County",,"Macharia, P.N., Gachini, G.N., Maingi, P.M., Chek, A., Njoroge, C.R.K., Mukiira, N., and Wandera, F",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kericho County, Kenya",district,
82,M215,"Soil suitability evaluation for maize production in Kericho East district, Kericho County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Kericho East district, Kericho County",,"Njoroge, C.R.K., Macharia, P.N., Gachini, G.N., Maingi, P.M., Chek, A., Mukiira, N., and Wandera, F",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kericho County, Kenya",district,
83,M216,"Soil suitability evaluation for maize production in Githunguri district, Kiambu County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Githunguri district, Kiambu County",,"Chek, A., Njoroge, C.R.K., Macharia, P.N., Gachini, G.N., Maingi, P.M., Mukiira, N., and Wandera, F",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kiambu County, Kenya",district,
84,M217,"Drought vulnerability mapping in Turkana North, Marigat, Taveta, Mbalambala and Tana River North district",Land,climatic data,"This report describes the drought vulnerability mapping in Turkana North, Marigat, Taveta, Mbalambala and Tana River North district",,"Tanui, L.K., Wagate, P.N., and Macharia, P.N",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,Kenya,national,
85,M218,"Land suitability assessment for sweet potato production of Kopia sites in Machakos, Makueni, Homa Bay, Kirinyaga and Murang’a Counties",Land,land suitability,"This report describes the suitability and assesment of land for cultivation of sweet potato production of Kopia sites in Machakos, Makueni, Homa Bay, Kirinyaga and Murang’a Counties",,"Muya, E.M., Owenga, P.O., and Amata, R",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,Kenya,national,
86,M219,"Livestock grazing and migration routes in Marigat District, Baringo County",Land,land use,"This report describes the livestock grazing and migration routes in Marigat District, Baringo County",,"Tanui, L.K., Wagate, P.N. and Macharia, P.N",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Baringo County, Kenya",district,
87,M220,"Clusters of production systems and their suitability for irrigation in Mbongoni Irrigation Scheme, Meru County",Land,land suitability,"This report describes the clusters of production systems and their suitability for irrigation in Mbongoni Irrigation Scheme, Meru County",,"Muya, E.M., Chek, A.L., Gachini, G.N., Njeru, E., Maingi, P.M., Otipa, M. and Violet, V",2012,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Meru County, Kenya",county,
88,M221,Final technical report for Gathika/Gacheru Irrigation Scheme; Land suitability assessment for improved soil quality and water sue efficiency in Mbeere County,Soil,soil suitability,"This report describes the land suitability assessment for improved soil quality and water sue efficiency for Gathika/Gacheru Irrigation Scheme, Mbeere Sub-County",,"Muya, E.M., Njeru, E., Maingi, P.M., Chek, A.L., and Otipa, M",2012,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Mbeere, Kenya",county,
89,M222,Land suitability assessment for improved crop production and environmental sustainability in Mosiro Irrigation Scheme,Land,land suitability,"This report describes the suitability and assesment of land for improved crop production and environmental sustainability in Mosiro Irrigation Schemesoils for Maize Production in Kipkelion district, Kericho County",,"Muya, E.M., Mafuma, L.A., Macharia, E. and Owenga, P",,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Mosiro, Kenya",catchment,
90,M223-M329,Soil suitability evaluation for maize production in various districts in Kenya,Soil,soil suitability,This report describes the suitability of soils for Maize Production in various districts in Kenya,,"Gachini, G.N., Njoroge, C.R.K., Macharia, P.N., Chek, A.L., Maingi, P.M.,",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,Kenya,national,
91,M330,Inception report for carrying out land suitability assessment for Irrigated Agriculture in Galana and Kulalu Ranches,Land,land suitability,This report describes theprocesses for carrying out land suitability assessment for Irrigated Agriculture in Galana and Kulalu Ranches,,"Wanjogu, S.N., Macharia, P.N., Tanui, L.K. and Wagate, P.N",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Galana and Kulalu, Kenya",catchment,
92,M331,"Soil Sampling, Analysis and Interpretation services for Maize Production in 141 Districts",Soil,soil suitability,"This report describes the Soil Sampling, Analysis and Interpretation services for Maize Production in 141 Districts",,"Gachini, G.N., Macharia, P.N. and Chek, A.L",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,Kenya,national,
93,M332,"Soil suitability evaluation for maize production in Eldoret East district, Uasin Gishu County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Eldoret East district, Uasin Gishu County",,"Gachini, G.N., Chek, A.L., Macharia, P.N. and Njoroge, C.R.K",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Uasin Gishu County, Kenya",district,
94,M333,"Soil suitability evaluation for maize production in Eldoret West district, Uasin Gishu County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Eldoret West district, Uasin Gishu County",,"Njoroge, C.R.K., Gachini, G.N., Chek, A.L. and Macharia, P.N.",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Uasin Gishu County, Kenya",district,
95,M334,"Soil suitability evaluation for maize production in Kwanza district, Trans Nzoia County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Kwanza district, Trans Nzoia County",,"Gachini, G.N., Chek, A.L., Macharia, P. N. and Njoroge, C.R.K.",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Trans Nzoia County, Kenya",district,
96,M335,"Soil suitability evaluation for maize production in Trans Nzoia East district, Trans Nzoia County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Trans Nzoia East district, Trans Nzoia County",,"Chek, A.L., Macharia, P.N., Njoroge, C.R.K. and Gachini, G.N",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Trans Nzoia County, Kenya",district,
97,M336,"Soil suitability evaluation for maize production in Trans Nzoia West district, Trans Nzoia County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Trans Nzoia West district, Trans Nzoia County",,"Gachini, G.N., Chek, A.L., Macharia, P.N. and Njoroge, C.R.K",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Trans Nzoia County, Kenya",district,
98,M337,"Soil suitability evaluation for maize production in Wareng district, Uasin Gishu County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Wareng district, Uasin Gishu County",,"Njoroge, C.R.K., Gachini, G.N., Chek, A.L. and Macharia, P.N",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Uasin Gishu County, Kenya",district,
99,M338,Soil suitability evaluation for maize production in Bungoma North district Bungoma County,Soil,soil suitability,This report describes the suitability of soils for Maize Production in Bungoma North district Bungoma County,,"Macharia, P.N., Njoroge, C.R.K., Gachini, G.N. and Chek, A.L",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Bungoma County, Kenya",district,
100,M339,"Soil suitability evaluation for maize production in Bungoma South, Bungoma",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Bungoma South, Bungoma",,"Chek, A.L., Macharia, P.N., Njoroge, C.R.K. and Gachini, G.N",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Bungoma County, Kenya",district,
101,M340,"Soil suitability evaluation for maize production in Bungoma Central district, Bungoma County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Bungoma Central district, Bungoma County",,"Gachini, G.N., Chek, A.L., Macharia, P.N. and Njoroge, C.R.K",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Bungoma County, Kenya",district,
102,M341,"Soil suitability evaluation for maize production in Bungoma West district, Bungoma County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Bungoma West district, Bungoma County",,"Macharia, P.N., Njoroge, C.R.K., Gachini, G.N. and Chek, A.L",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Bungoma County, Kenya",district,
103,M342,"Soil suitability evaluation for maize production in Cheptais district, Bungoma County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Cheptais district, Bungoma County",,"Chek, A.L., Macharia, P.N., Njoroge, C.R.K. and Gachini, G.N",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Bungoma County, Kenya",district,
104,M343,"Soil suitability evaluation for maize production in Nandi East district, Nandi County.",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Nandi East district, Nandi County.",,"Macharia, P.N., Njoroge, C.R.K., Gachini, G.N. and Chek, A.L",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Nandi County, Kenya",district,
105,M344,"Soil suitability evaluation for maize production in Nandi Central district, Nandi County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Nandi Central district, Nandi County",,"Njoroge, C.R.K., Gachini, G;.N., Chek, A.L. and Macharia, P.N",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Nandi County, Kenya",district,
106,M345,"Soil suitability evaluation for maize production in Pokot Central district, West Pokot County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Pokot Central district, West Pokot County",,"Chek, A.L., Macharia, P.N., Njoroge, C.R.K. and Gachini, G.N",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"West Pokot County, Kenya",district,
107,M346,"Soil suitability evaluation for maize production in Njoro district, Nakuru County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Njoro district, Nakuru County",,"Macharia, P.N., Njoroge, C.R.K., Gachini, G.N. and Chek, A.L",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Nakuru County, Kenya",district,
108,M347,"Soil suitability evaluation for maize production in Kuresoi district, Nakuru County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Kuresoi district, Nakuru County",,"Njoroge, C.R.K., Gachini, G.N., Chek, A.L. and Macharia, P.N",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Nakuru County, Kenya",district,
109,M348,"Soil suitability evaluation for maize production in Molo district, Nakuru County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Molo district, Nakuru County",,"CheK, A.L., Macharia, P.N., Njoroge, C.R.K. and Gachini, G.N",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Nakuru County, Kenya",district,
110,M349,"Soil fertility and land suitability assessment for Irrigated agriculture in Galana Ranch Phase I and II Food Security Project, Tana River County",Soil and Land,soil fertility,"This report describes Soil fertility and land suitability assessment for Irrigated agriculture in Galana Ranch Phase I and II Food Security Project, Tana River County",,"Macharia, P.N., Kamoni, P.T., Wanjogu, S.N., Tanui, L.K., and Wagate, P.N",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Tana River Conty, Kenya",county,
111,M350,"Soil suitability evaluation for maize production in Kirinyaga West district, Kirinyaga County",Soil,soil suitability,"This report describes the suitability of soils for Maize Production in Kirinyaga West district, Kirinyaga County",,"Gachini, G.N., Chek, A.L., Macharia, P.N. and Njoroge, C.R.K",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kirinyaga County, Kenya",district,
112,M351,Determination of crop water requirements for Nguruman scheme,Crop,cultivation,This report describes in detail the determination of crop water requirements for Nguruman scheme,,"Muya, E.M., Owenga, P.O., Kirigua, V., Goro, H., Atonya, B. and Mathu, J",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kajiado County, Kenya",catchment,
113,M352,"Assessment of Irrigation suitability in terms of productivity index of different clusters in Kabanon-Kapkamak Irrigation Scheme, Elgeyo Marakwet County",Land,land suitability,"This report describes the assessment of Irrigation suitability in terms of productivity index of different clusters in Kabanon-Kapkamak Irrigation Scheme, Elgeyo Marakwet County",,"Muya, E. M., Kirigua, V., Yego, J., Maingi, P.M., Chek, A.L., Thuranira, E.G., Goro, H., Owenga, P.O., and Macharia, J.",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Elgeyo Marakwet County, Kenya",catchment,
114,M353,"Assessment of the impacts of land degradation on the quality of soils of Mosiro Irrigation Scheme, Narok County: Strategies for improved productivity and sustainable development",Land,land management,"This report describes the assessment of the impacts of land degradation on the quality of soils of Mosiro Irrigation Scheme, Narok County",,"Muya, E.M., Mafuma, L.A., Macharia, E., Thuranira, E.G., Kirigua, V., Otipa, M., and Goro H",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Narok County, Kenya",catchment,
115,M354,Analysis of the challenges and technological options for improved water use efficiency in Nguruman and Lari Wendani Schemes.,Land,land use,This report describes the analysis of the challenges and technological options for improved water use efficiency in Nguruman and Lari Wendani Schemes.,,"Muya, E.M., Okoth, P.F.Z. and Sijali I.V",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,Kenya,catchment,
116,M355,"Soil suitability evaluation for rice production in Mwea East District, Kirinyaga County",Soil,soil suitability,"This report describes the suitability of soils for rice production in Mwea East District, Kirinyaga County",,"Macharia, P.N., Njoroge, C.R.K., Gachini, G.N. and Chek, A.L.",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kirinyaga County, Kenya",district,
117,M356,"Land suitability assessment for Oil Palm Production in Coast, Western and Nyanza Regions of Kenya.",Land,land suitability,"This report describes the suitability of land for cultivation of Oil Palm in Coast, Western and Nyanza Regions of Kenya.",,"Nyamai, M., Macharia, P.N. and Njoroge, C.R.K.",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,Kenya,national,
118,M357,Characterization and suitability assessment of IPNI experimental sites for maize for long-term trials,Soil,soil suitability,This report describes the characterization and suitability assessment of IPNI experimental sites for maize for long-term trials,,"Muya, E.M. and Owenga, P.O",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,Kenya,plot (farm),
119,M358,"Soil suitability assessment of IMAS site, Kiboko for maize production.",Soil,soil suitability,"This report describes the suitability and assessment of soils of IMAS site, Kiboko for maize production.",,"Muya, E.M. and Maingi, S.W",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kiboko, Kenya",plot (farm),
120,M359,"Land suitability assessment for Oil Palm Production in Coast, Western and Nyanza Regions of Kenya",Land,land suitability,"This report describes the suitability of land for cultivation of Oil Palm in Coast, Western and Nyanza Regions of Kenya.",,"Nyamai, M., Macharia, P.N. and Njoroge, C.R.K",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,Kenya,national,
121,M360,"Soil fertility and suitability evaluation for drought resistance crops in Mwingi North Sub County, Kitui County.",Soil,soil fertility,"This report describes Soil fertility and land suitability assessment for drought resistance crops in Mwingi North Sub County, Kitui County.",,"Kamoni, P.T. and Njoroge, C.R.K.",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kitui County, Kenya",county,
122,M361,"Soil fertility evaluation for crop production in Narok West, East and North sub-counties, Narok County",Soil,soil fertility,"This report describes Soil fertility and land suitability assessment for crop production in Narok West, East and North sub-counties, Narok County",,"Gachini, G.N. and Macharia, P.N",2015,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kitui, Kenya",county,
123,M362,"Soil fertility evaluation and soils characterization of BAT tobacco growing regions of Eastern Kenya, Embu/Mbeere, Tharaka/Nithi Counties.",Soil,soil fertility,"This report describes the Soil fertility evaluation and soils characterization of BAT tobacco growing regions of Eastern Kenya, Embu/Mbeere, Tharaka/Nithi Counties",,"Kamoni, P.T., Gachini, G.N. and Macharia, P.N.",2015,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Embu and Tharaka Nithi Counties, Kenya",county,
124,M363,"Soil fertility evaluation and soils characterization of BAT tobacco growing regions in Nyanza, Migori and Homa Bay Counties.",Soil,soil fertility,"This report describes the Soil fertility evaluation and soils characterization of BAT tobacco growing regions of Nyanza, Migori and Homa Bay Counties",,"Kamoni, P.T., Gachini, G.N. and Macharia, P.N",2015,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Migori and Homabay Counties, Kenya",county,
125,M364,Soil characterization optimizing fertilizer use for improved irrigated horticulture,Soil,fertilizer application,This report describes the Soil characterization optimizing fertilizer use for improved irrigated horticulture,,"Muya, E.M., Kirigua, V., Njeru, E. and Goro, H",2015,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,Kenya,national,
126,M365,Clustering production systems for improved nutrient use efficiency in Mbongoni Irrigation Scheme,Soil,soil suitability,This report describes the clusters of production systems for improved nutrient use efficiency in Mbongoni Irrigation Scheme,,"Muya, E.M., Chek, A.L., Gachini, G.N., Njeru, E., Owenga, P.O., Maingi, P.M., Otipa, M. and Kirigua",2015,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Mbongoni, Kenya",catchment,
127,M366,"Assessment of Irrigation potentials and suitability of soils of Iviani Irrigation Scheme, Makueni County: General Kopia site characterization for selection of Irrigation experimental sites",Soil,soil suitability,"This report describes the assessment of Irrigation potentials and suitability of soils of Iviani Irrigation Scheme, Makueni County",,"Muya, E.M. and Owenga P.O",2015,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Makueni County, Kenya",county,
128,M367,"Soil fertility evaluation and soil characterization of BAT tobacco growing regions in Western Kenya, Bungoma, Busia and Teso Counties.",Soil,soil fertility,"This report describes the Soil fertility evaluation and soils characterization of BAT tobacco growing regions of Western Kenya, Bungoma, Busia and Teso Counties.",,"Kamoni, P.T., Gachini, G.N., and Macharia, P.N",2015,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,Western Kenya,county,
129,M368,"Suitability Evaluation for Alternative Land uses in Leban and Tapacg Wards, Pokot South, Sub- County, West Pokot County",Land,land use,"This report describes the suitability of land for alternative uses in Leban and Tapacg Wards, Pokot South, Sub- County, West Pokot County",,S. N. Wanjogu and B. K. Waruru,2016,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"West Pokot County, Kenya",county,
130,M369,"Soil Fertility Evaluation of KCEP demonstration sites in Shesumei, Mosop and Engwen Sub-Counties the UEA-Baraton, Nandi County.",Soil,soil fertility,"This report describes the Soil fertility evaluation of KCEP demonstration sites in Shesumei, Mosop and Engwen Sub-Counties the UEA-Baraton, Nandi County.",,S.N. Wanjogu and G. N. Gachini,2016,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Nandi County, Kenya",county,
131,M370,"Characteristics and fertility status of the soils of Trans Nzoia East & Kwanza Sub-counties, Trans Nzoia County",Soil,soil fertility,"This report describes the characteristics and fertility status of the soils of Trans Nzoia East & Kwanza Sub-counties, Trans Nzoia County",,E.M. Muya and K. Were,2016,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Trans Nzoia County, Kenya",county,
